브랜드,productID,itemID,vendorItemID,상품명,개수,수량,가격,Date
braun,8658299176,25129240617,92128399230,브라운 바디 트리머,XT5000,제모면도기,74800,2026-04-13
duracell,130164876,21326386046,4949572331,듀라셀 알카라인 AA 건전지,20개입,1개,13900,2026-04-13
duracell,7104553961,14516512583,4949572312,듀라셀 오리지널 AAA 건전지,20개입,1개,13900,2026-04-13
duracell,7105319153,17746821758,3929983154,듀라셀 오리지널 알카라인 AA 건전지 20p + AAA 건전지 20p,40개입,1세트,18830,2026-04-13
duracell,130164876,21134555024,92378243178,듀라셀 알카라인 보관박스팩 AA 건전지,8개입,1개,7000,2026-04-13
duracell,7104553961,25009915199,92378243189,듀라셀 알카라인 보관박스팩 AAA 건전지,8개입,1개,7000,2026-04-13
duracell,8743244062,25409851991,92403271411,듀라셀 알카라인 보관박스팩 AA 4p + AAA 4p 건전지 세트,1개,,6650,2026-04-13
duracell,130164876,24615451628,92378243192,듀라셀 알카라인 보관박스팩 AA 건전지,10개입,1개,8500,2026-04-13
duracell,7104553961,23201082403,92378243205,듀라셀 알카라인 보관박스팩 AAA 건전지,10개입,1개,8750,2026-04-13
duracell,8743244063,25409851992,92403271416,듀라셀 알카라인 보관박스팩 AA 8p + AAA 2p 건전지 세트,10개입,1개,8500,2026-04-13
duracell,130164876,21259038751,92378243213,듀라셀 알카라인 보관박스팩 AA 건전지,12개입,1개,9990,2026-04-13
duracell,7104553961,24232031738,92378243224,듀라셀 알카라인 보관박스팩 AAA 건전지,12개입,1개,9990,2026-04-13
duracell,9123830054,25409851990,92403271409,듀라셀 알카라인 보관박스팩 AA 8p + AAA 4p 건전지 세트,1개,,9990,2026-04-13
duracell,6636188191,21206941169,91137260781,듀라셀 디럭스 알카라인 블리스터팩 AA 건전지,10개입,1개,품절,2026-04-13
duracell,9209131889,27201221981,91137260780,듀라셀 디럭스 알카라인 블리스터팩 AAA 건전지,10개입,1개,9000,2026-04-13
duracell,6083545274,24990635789,91995999935,듀라셀 디럭스 알카라인 건전지 세트 AA 10p + AAA 10p,1세트,,18000,2026-04-13
duracell,6636188191,203553039,3482511119,듀라셀 디럭스 알카라인 건전지 AA 블리스터팩,12개입,1개,10390,2026-04-13
duracell,9209131889,27201330669,3482511120,듀라셀 디럭스 알카라인 건전지 AAA 블리스터팩,12개입,1개,10390,2026-04-13
duracell,7460147662,19442992459,86553974963,듀라셀 디럭스 알카라인 건전지 블리스터팩 AA 12p + AAA 12p,1세트,,19090,2026-04-13
duracell,7707329189,20651094614,87590359687,듀라셀 울트라 알카라인 AA건전지 보관박스팩,16개입,1개,17010,2026-04-13
duracell,6568289572,20479346384,87590359623,듀라셀 울트라 알카라인 AAA 건전지 보관박스팩,16개입,1개,17010,2026-04-13
duracell,7707329189,21258841708,3603303313,듀라셀 울트라 알카라인 건전지 AA 블리스터팩,12개입,1개,14670,2026-04-13
duracell,6568289572,20724993141,5396106252,듀라셀 울트라 알카라인 건전지 AAA 블리스터팩,12개입,2개,17850,2026-04-13
duracell,130222573,383242420,3930383285,듀라셀 울트라 알카라인 건전지 블리스터팩 AA 12p + AAA 12p,1세트,,19900,2026-04-13
duracell,7845202231,18664327603,85798864497,듀라셀 쓴맛코팅 리튬 코인 건전지 CR2016,2개입,1개,4130,2026-04-13
duracell,7845202231,18664327615,85798864556,듀라셀 쓴맛코팅 리튬 코인 건전지 CR2016,4개입,1개,6640,2026-04-13
duracell,5227049780,21730807085,88779979459,듀라셀 쓴맛코팅 리튬 코인건전지 CR2025,2개입,1개,3580,2026-04-13
duracell,5227049780,22635206907,74303433926,듀라셀 쓴맛코팅 리튬 코인 건전지 CR2025,4개입,2개,10070,2026-04-13
duracell,6825492637,19526052238,94992970482,듀라셀 쓴맛코팅 리튬 코인 건전지 CR2032,2개입,1개,3520,2026-04-13
duracell,6825492637,16269201835,86634600889,듀라셀 쓴맛코팅 리튬 코인 건전지 CR2032,4개입,1개,6010,2026-04-13
duracell,1518173527,2605363857,70596500705,듀라셀 알카라인 C형 건전지,4개입,1개,9260,2026-04-13
duracell,1518173187,2605363340,70596500623,듀라셀 알카라인 D형 건전지,4개입,1개,11340,2026-04-13
duracell,6117999,2605363391,70596500727,듀라셀 알카라인 9V 건전지,2개입,1개,8240,2026-04-13
duracell,1518173527,8108942022,3001958453,듀라셀 알카라인 건전지 C,2개입,1개,5570,2026-04-13
duracell,1518173187,18447575923,3000151724,듀라셀 알카라인 D형 건전지,2개입,1개,6870,2026-04-13
duracell,6117999,3137202,3003569689,듀라셀 알카라인 건전지 9V,1개입,1개,5200,2026-04-13
duracell,6310166208,18747104295,85879186175,듀라셀 알카라인 코인 건전지 A76 LR44,10개입,1개,7290,2026-04-13
duracell,6959643369,18747104274,85879186099,듀라셀 리튬 특수건전지 CR123,1개입,1개,6830,2026-04-13
duracell,6353010641,13375873881,88820191089,듀라셀 리튬 특수건전지 CR2,1개입,1개,5900,2026-04-13
duracell,310590819,17680982665,88834049626,듀라셀 알카라인 AAAA 건전지,2개입,1개,3360,2026-04-13
duracell,7776617293,21008241061,85879186264,듀라셀 알카라인 특수 건전지 A23 MN21,2개입,1개,4800,2026-04-13
duracell,7297148083,18747104326,85879186266,듀라셀 리튬 코인 건전지 CR1616,1개입,1개,3250,2026-04-13
duracell,310590780,19213110456,85879186409,듀라셀 리튬 코인 건전지 CR1620,1개입,1개,3600,2026-04-13
duracell,6908150074,18747104315,85879186251,듀라셀 리튬 코인건전지 CR1632,1개입,1개,3600,2026-04-13
duracell,7258106007,13751719765,85879186392,듀라셀 리튬 코인건전지 CR2450,1개입,1개,3660,2026-04-13
